Media,Treatment,Plate,Seedling,Total_biomass_g,Shoot_biomass_g,Root_biomass_g,Total_biomass_mg,Shoot_biomass_mg,Root_biomass_mg,Primary_root_length_pixel,Total_root_length_pixel,Primary_root_length_mm,Total_root_length_mm,Number_lateral_roots
75mM,control,2,1,0.0053,0.0037,0.0016,5.3,3.7,1.6,595.36,655.63,60.50406504,66.62906504,1
75mM,control,2,2,0.005,0.003,0.002,5,3,2,611.73,677.55,62.16768293,68.85670732,2
75mM,control,2,3,0.0045,0.0026,0.0019,4.5,2.6,1.9,474.56,474.56,48.22764228,48.22764228,0
75mM,control,2,4,0.0061,0.0046,0.0015,6.1,4.6,1.5,620.95,784.77,63.1046748,79.75304878,5
75mM,control,2,5,0.0056,0.0041,0.0015,5.6,4.1,1.5,698.16,901.79,70.95121951,91.6453252,4
75mM,control,2,6,0.0028,0.0022,0.0006,2.8,2.2,0.6,562.14,587.65,57.12804878,59.72052846,3
75mM,control,2,7,0.0046,0.0033,0.0013,4.6,3.3,1.3,566.15,696.03,57.53556911,70.7347561,2
75mM,control,2,8,0.0045,0.0031,0.0014,4.5,3.1,1.4,596.62,681.66,60.63211382,69.27439024,6
75mM,control,3,1,0.0071,0.0054,0.0017,7.1,5.4,1.7,681.96,1186.92,69.30487805,120.6219512,10
75mM,control,3,2,0.0065,0.0048,0.0017,6.5,4.8,1.7,648.26,954.87,65.8800813,97.03963415,9
75mM,control,3,3,0.0063,0.0042,0.0021,6.3,4.2,2.1,683.57,1153.88,69.46849593,117.2642276,8
75mM,control,3,4,0.0052,0.0036,0.0016,5.2,3.6,1.6,620.27,1044.04,63.03556911,106.101626,6
75mM,control,3,5,0.0062,0.0047,0.0015,6.2,4.7,1.5,629.56,840.1,63.9796748,85.37601626,6
75mM,control,3,6,0.0065,0.0051,0.0014,6.5,5.1,1.4,646.39,928.91,65.69004065,94.40142276,7
75mM,control,3,7,,,,,,,604.26,855.25,61.40853659,86.91565041,6
75mM,control,3,8,0.0039,0.003,0.0009,3.9,3,0.9,578.94,810.82,58.83536585,82.4004065,5
75mM,WCS417,1,1,0.016,0.0102,0.0058,16,10.2,5.8,575.67,1875.53,58.50304878,190.6026423,17
75mM,WCS417,1,2,0.015,0.0095,0.0055,15,9.5,5.5,560.32,1578.47,56.94308943,160.4136179,20
75mM,WCS417,1,3,0.0163,0.0105,0.0058,16.3,10.5,5.8,521.26,1433.79,52.97357724,145.7103659,16
75mM,WCS417,1,4,0.0177,0.0117,0.006,17.7,11.7,6,529.94,2011.75,53.85569106,204.4461382,18
75mM,WCS417,1,5,0.0166,0.011,0.0056,16.6,11,5.6,522.27,1691.33,53.07621951,171.8831301,17
75mM,WCS417,1,6,0.0203,0.0133,0.007,20.3,13.3,7,551.56,1704.71,56.05284553,173.2428862,13
75mM,WCS417,1,7,0.015,0.0093,0.0057,15,9.3,5.7,512.64,1591.48,52.09756098,161.7357724,19
75mM,WCS417,1,8,0.0147,0.0097,0.005,14.7,9.7,5,527.86,1874.72,53.64430894,190.5203252,24
75mM,WCS417,2,1,0.0099,0.007,0.0029,9.9,7,2.9,585.74,2259.82,59.52642276,229.6565041,20
75mM,WCS417,2,2,0.0145,0.0102,0.0043,14.5,10.2,4.3,523.5,1712.76,53.20121951,174.0609756,18
75mM,WCS417,2,3,0.0127,0.0092,0.0035,12.7,9.2,3.5,570.16,2721.12,57.94308943,276.5365854,20
75mM,WCS417,2,4,0.0094,0.0065,0.0029,9.4,6.5,2.9,558.41,2008.84,56.74898374,204.1504065,19
75mM,WCS417,2,5,0.0122,0.0082,0.004,12.2,8.2,4,532.67,2184.91,54.13313008,222.0436992,23
75mM,WCS417,2,6,0.0103,0.0069,0.0034,10.3,6.9,3.4,532.27,2173.54,54.09247967,220.8882114,20
75mM,WCS417,2,7,0.0119,0.0082,0.0037,11.9,8.2,3.7,517.25,1835.62,52.56605691,186.546748,16
75mM,WCS417,2,8,0.0117,0.0088,0.0029,11.7,8.8,2.9,575.87,1890.15,58.52337398,192.0884146,19
75mM,WCS417,3,1,0.0146,0.0092,0.0054,14.6,9.2,5.4,544.03,1661.49,55.28760163,168.8506098,20
75mM,WCS417,3,2,0.013,0.0084,0.0046,13,8.4,4.6,546.24,1596.2,55.51219512,162.2154472,16
75mM,WCS417,3,3,0.0144,0.0098,0.0046,14.4,9.8,4.6,497.37,1350.66,50.54573171,137.2621951,12
75mM,WCS417,3,4,0.0122,0.0081,0.0041,12.2,8.1,4.1,529.48,1608.05,53.80894309,163.4197154,14
