sample_ID	Pot_number	Sample_type	water_regime	treatment	Total_leaf_area_cm^2	Average_leaf_area_cm^2	Nº leaves	FW_root_g	FW_shoot_g	DW_shoot_g	shoot_DR_FW_ratio	water_content_pct	amplicon_concentration_ngul	library
ZRB-51	51	rhizosphere	WW	WCS417	769.41	76.941	13	4.4	42.02	4.75	0.113041409	88.69585911	7.964	
ZRB-52	52	rhizosphere	DR	Control	287.31	41.04428571	10	3.65	17.19	2.45	0.142524724	85.74752763	2.378	failed
ZRB-53	53	rhizosphere	WW	WCS315	634	63.4	14	4.49	34.24	3.69	0.107768692	89.22313084	9.76	
ZRB-54	54	rhizosphere	WW	Control	410.76	51.345	12	20.53	23.49	3.04	0.129416773	87.05832269	3.605	
ZRB-55	55	rhizosphere	WW	CHA0	705.16	70.516	15	6.36	43.38	4.33	0.099815583	90.01844168	16.811	
ZRB-56	56	rhizosphere	DR	WCS315	408.08	51.01	12	2.41	23.39	2.98	0.127404874	87.25951261	3.978	
ZSB-1	1	bulk_soil	DR	CHA0									1.978	
ZSB-2	2	bulk_soil	DR	WCS315									1.825	
ZSB-3	3	bulk_soil	WW	WCS315									2.783	
ZSB-4	4	bulk_soil	DR	CHA0									6.161	
ZSB-5	5	bulk_soil	WW	WCS315									1.971	
ZSB-6	6	bulk_soil	WW	CHA0									1.792	
ZSB-7	7	bulk_soil	WW	Control									4.121	
ZSB-8	8	bulk_soil	WW	WCS417									3.054	
ZSB-9	9	bulk_soil	DR	WCS315									1.884	
ZSB-10	10	bulk_soil	DR	WCS315									2.596	
ZSB-11	11	bulk_soil	WW	WCS417									2.481	
ZSB-12	12	bulk_soil	WW	Control									1.643	
ZSB-13	13	bulk_soil	DR	CHA0									2.799	
ZSB-14	14	bulk_soil	DR	WCS417									3.066	
ZSB-15	15	bulk_soil	WW	CHA0									2.555	
ZSB-16	16	bulk_soil	WW	WCS417									3.309	
ZSB-17	17	bulk_soil	WW	CHA0									2.597	
ZSB-18	18	bulk_soil	DR	WCS315									2.013	
ZSB-19	19	bulk_soil	DR	Control									1.605	
ZSB-20	20	bulk_soil	WW	WCS315									2.533	
ZSB-21	21	bulk_soil	DR	CHA0									2.129	
ZSB-22	22	bulk_soil	DR	CHA0									2.065	
ZSB-23	23	bulk_soil	WW	WCS417									2.397	
ZSB-24	24	bulk_soil	WW	CHA0									2.83	
ZSB-25	25	bulk_soil	DR	WCS417									1.948	
ZSB-26	26	bulk_soil	DR	Control									1.893	
ZSB-27	27	bulk_soil	DR	Control									2.104	
ZSB-28	28	bulk_soil	DR	Control									1.226	
ZSB-29	29	bulk_soil	DR	WCS417									3.398	
ZSB-30	30	bulk_soil	DR	WCS315									2.252	
ZSB-31	31	bulk_soil	DR	WCS417										
ZSB-32	32	bulk_soil	WW	CHA0									2.43	
ZSB-33	33	bulk_soil	WW	WCS417									3.417	
ZSB-34	34	bulk_soil	WW	CHA0									2.572	
ZSB-35	35	bulk_soil	DR	WCS417									2.049	
ZSB-36	36	bulk_soil	WW	Control									2.06	
ZSB-37	37	bulk_soil	DR	Control									1.652	
ZSB-38	38	bulk_soil	DR	CHA0									1.686	
ZSB-39	39	bulk_soil	WW	Control									3.049	
ZSB-40	40	bulk_soil	DR	WCS417									2.641	
ZSB-41	41	bulk_soil	WW	WCS315									1.849	
ZSB-42	42	bulk_soil	DR	Control									1.921	
ZSB-43	43	bulk_soil	WW	Control									2.404	
ZSB-44	44	bulk_soil	DR	WCS417									2.362	
ZSB-45	45	bulk_soil	WW	WCS315									1.82	
ZSB-46	46	bulk_soil	WW	WCS315									1.706	
ZSB-47	47	bulk_soil	DR	WCS315									1.064	
ZSB-48	48	bulk_soil	DR	CHA0									1.844	
ZSB-49	49	bulk_soil	WW	Control									2.398	
ZSB-50	50	bulk_soil	WW	WCS417									2.46	
ZSB-51	51	bulk_soil	WW	WCS417									2.612	
ZSB-52	52	bulk_soil	DR	Control									1.802	
ZSB-53	53	bulk_soil	WW	WCS315									1.481	
ZSB-54	54	bulk_soil	WW	Control									2.236	
ZSB-55	55	bulk_soil	WW	CHA0									2.291	
ZSB-56	56	bulk_soil	DR	WCS315									1.859	
